"Points:0","Points:1","Points:2"
0.4,0.10574,0
0.40076,0.10568,0
0.4,0.10578,0
0.40076,0.10571,0
0.4,0.10581,0
0.40077,0.10574,0
0.4,0.10584,0
0.40077,0.10578,0
0.4,0.10588,0
0.40077,0.10581,0
0.4,0.10591,0
0.40077,0.10584,0
0.4,0.10595,0
0.40077,0.10588,0
0.4,0.10598,0
0.40078,0.10591,0
0.4,0.10601,0
0.40078,0.10594,0
0.4,0.10605,0
0.40078,0.10598,0
0.4,0.10608,0
0.40078,0.10601,0
0.4,0.10611,0
0.40078,0.10605,0
0.4,0.10615,0
0.40079,0.10608,0
0.4,0.10618,0
0.40079,0.10611,0
0.4,0.10622,0
0.40079,0.10615,0
0.4,0.10625,0
0.40079,0.10618,0
0.4,0.10628,0
0.40079,0.10621,0
0.4,0.10632,0
0.4008,0.10625,0
0.4,0.10635,0
0.4008,0.10628,0
0.4,0.10638,0
0.4008,0.10631,0
0.4,0.10642,0
0.4008,0.10635,0
0.4,0.10645,0
0.40081,0.10638,0
0.4,0.10649,0
0.40081,0.10641,0
0.4,0.10652,0
0.40081,0.10645,0
0.4,0.10655,0
0.40081,0.10648,0
0.4,0.10659,0
0.40081,0.10652,0
0.4,0.10662,0
0.40082,0.10655,0
0.4,0.10665,0
0.40082,0.10658,0
0.4,0.10669,0
0.40082,0.10662,0
0.4,0.10672,0
0.40082,0.10665,0
0.4,0.10676,0
0.40082,0.10668,0
0.4,0.10679,0
0.40083,0.10672,0
0.4,0.10682,0
0.40083,0.10675,0
0.4,0.10686,0
0.40083,0.10678,0
0.4,0.10689,0
0.40083,0.10682,0
0.4,0.10692,0
0.40083,0.10685,0
0.4,0.10696,0
0.40084,0.10688,0
0.4,0.10699,0
0.40084,0.10692,0
0.4,0.10703,0
0.40084,0.10695,0
0.4,0.10706,0
0.40084,0.10699,0
0.4,0.10709,0
0.40085,0.10702,0
0.4,0.10713,0
0.40085,0.10705,0
0.4,0.10716,0
0.40085,0.10709,0
0.4,0.10719,0
0.40085,0.10712,0
0.4,0.10723,0
0.40085,0.10715,0
0.4,0.10726,0
0.40086,0.10719,0
0.4,0.1073,0
0.40086,0.10722,0
0.4,0.10733,0
0.40086,0.10725,0
0.4,0.10736,0
0.40086,0.10729,0
0.4,0.1074,0
0.40086,0.10732,0
0.4,0.10743,0
0.40087,0.10735,0
0.4,0.10746,0
0.40087,0.10739,0
0.4,0.1075,0
0.40087,0.10742,0
0.4,0.10753,0
0.40087,0.10746,0
0.4,0.10757,0
0.40087,0.10749,0
0.4,0.1076,0
0.40088,0.10752,0
0.4,0.10763,0
0.40088,0.10756,0
0.4,0.10767,0
0.40088,0.10759,0
0.4,0.1077,0
0.40088,0.10762,0
0.4,0.10773,0
0.40088,0.10766,0
0.4,0.10777,0
0.40089,0.10769,0
0.4,0.1078,0
0.40089,0.10772,0
0.4,0.10784,0
0.40089,0.10776,0
0.4,0.10787,0
0.40089,0.10779,0
0.4,0.1079,0
0.4009,0.10782,0
0.4,0.10794,0
0.4009,0.10786,0
0.4,0.10797,0
0.4009,0.10789,0
0.4,0.108,0
0.4009,0.10793,0
0.4,0.10804,0
0.4009,0.10796,0
0.4,0.10807,0
0.40091,0.10799,0
0.4,0.10811,0
0.40091,0.10803,0
0.4,0.10814,0
0.40091,0.10806,0
0.4,0.10817,0
0.40091,0.10809,0
0.4,0.10821,0
0.40091,0.10813,0
0.4,0.10824,0
0.40092,0.10816,0
0.4,0.10827,0
0.40092,0.10819,0
0.4,0.10831,0
0.40092,0.10823,0
0.4,0.10834,0
0.40092,0.10826,0
0.4,0.10838,0
0.40092,0.10829,0
0.4,0.10841,0
0.40093,0.10833,0
0.4,0.10844,0
0.40093,0.10836,0
0.4,0.10848,0
0.40093,0.10839,0
0.4,0.10851,0
0.40093,0.10843,0
0.4,0.10854,0
0.40094,0.10846,0
0.4,0.10858,0
0.40094,0.1085,0
0.4,0.10861,0
0.40094,0.10853,0
0.4,0.10865,0
0.40094,0.10856,0
0.4,0.10868,0
0.40094,0.1086,0
0.4,0.10871,0
0.40095,0.10863,0
0.4,0.10875,0
0.40095,0.10866,0
0.4,0.10878,0
0.40095,0.1087,0
0.4,0.10881,0
0.40095,0.10873,0
0.4,0.10885,0
0.40095,0.10876,0
0.4,0.10888,0
0.40096,0.1088,0
0.4,0.10892,0
0.40096,0.10883,0
0.4,0.10895,0
0.40096,0.10886,0
0.4,0.10898,0
0.40096,0.1089,0
0.4,0.10902,0
0.40096,0.10893,0
0.4,0.10905,0
0.40097,0.10897,0
0.4,0.10908,0
0.40097,0.109,0
0.4,0.10912,0
0.40097,0.10903,0
0.4,0.10915,0
0.40097,0.10907,0
0.4,0.10919,0
0.40098,0.1091,0
0.4,0.10922,0
0.40098,0.10913,0
0.4,0.10925,0
0.40098,0.10917,0
0.4,0.10929,0
0.40098,0.1092,0
0.4,0.10932,0
0.40098,0.10923,0
0.4,0.10935,0
0.40099,0.10927,0
0.4,0.10939,0
0.40099,0.1093,0
0.4,0.10942,0
0.40099,0.10933,0
0.4,0.10946,0
0.40099,0.10937,0
0.4,0.10949,0
0.40099,0.1094,0
0.4,0.10952,0
0.401,0.10944,0
0.4,0.10956,0
0.401,0.10947,0
0.4,0.10959,0
0.401,0.1095,0
0.4,0.10962,0
0.401,0.10954,0
0.4,0.10966,0
0.401,0.10957,0
0.40001,0.10969,0
0.40101,0.1096,0
0.40009,0.10972,0
0.40101,0.10964,0
0.40016,0.10974,0
0.40101,0.10967,0
0.40024,0.10977,0
0.40101,0.1097,0
0.40032,0.1098,0
0.40102,0.10974,0
0.4004,0.10983,0
0.40102,0.10977,0
0.40048,0.10985,0
0.40102,0.1098,0
0.40056,0.10988,0
0.40102,0.10984,0
0.40064,0.10991,0
0.40102,0.10987,0
0.40072,0.10993,0
0.40103,0.10991,0
0.4008,0.10996,0
0.40103,0.10994,0
0.40087,0.10999,0
0.40103,0.10997,0
0.40095,0.11001,0
0.40103,0.11001,0
0.40103,0.11004,0
0.40103,0.11004,0
0.401,0.11006,0
0.40104,0.11006,0
0.40097,0.11008,0
0.40104,0.11008,0
0.40094,0.1101,0
0.40105,0.1101,0
0.4009,0.11013,0
0.40105,0.11012,0
0.40087,0.11015,0
0.40106,0.11014,0
0.40084,0.11017,0
0.40106,0.11016,0
0.40081,0.11019,0
0.40107,0.11018,0
0.40078,0.11021,0
0.40107,0.1102,0
0.40074,0.11023,0
0.40108,0.11021,0
0.40071,0.11026,0
0.40108,0.11023,0
0.40068,0.11028,0
0.40109,0.11025,0
0.40065,0.1103,0
0.40109,0.11027,0
0.40061,0.11032,0
0.4011,0.11029,0
0.40058,0.11034,0
0.4011,0.11031,0
0.40055,0.11036,0
0.40111,0.11033,0
0.40052,0.11039,0
0.40111,0.11035,0
0.40048,0.11041,0
0.40112,0.11037,0
0.40045,0.11043,0
0.40112,0.11039,0
0.40042,0.11045,0
0.40113,0.11041,0
0.40039,0.11047,0
0.40113,0.11043,0
0.40035,0.11049,0
0.40114,0.11045,0
0.40032,0.11051,0
0.40114,0.11047,0
0.40029,0.11054,0
0.40115,0.11049,0
0.40026,0.11056,0
0.40115,0.11051,0
0.40022,0.11058,0
0.40116,0.11053,0
0.40019,0.1106,0
0.40116,0.11055,0
0.40016,0.11062,0
0.40117,0.11057,0
0.40013,0.11064,0
0.40117,0.11058,0
0.40009,0.11067,0
0.40118,0.1106,0
0.40006,0.11069,0
0.40118,0.11062,0
0.40003,0.11071,0
0.40119,0.11064,0
0.4,0.11073,0
0.40119,0.11066,0
0.4,0.11075,0
0.4012,0.11068,0
0.4,0.11077,0
0.4012,0.1107,0
0.4,0.11079,0
0.40121,0.11072,0
0.4,0.11081,0
0.40121,0.11074,0
0.4,0.11083,0
0.40122,0.11076,0
0.4,0.11085,0
0.40122,0.11078,0
0.4,0.11087,0
0.40123,0.1108,0
0.4,0.11089,0
0.40123,0.11082,0
0.4,0.11091,0
0.40124,0.11084,0
0.4,0.11093,0
